tweet_id,sentiment,author,content,content_length
1964120141,worry,xrudyx,@ursusfidelis sry about tweeting so much,40
1753727883,worry,MostHappyMe,@Santbrink boffert,18
1965915618,neutral,FamousEEEEEEEE,"Two months ago, I became worthless.",35
1750963138,worry,Kevly,resting had a whole day of walking,34
1750964241,neutral,Lisaloftino,@savagestar Sounds like you won backstage passes,48
1961284607,worry,jesssicababesss,@IvanaE grrrrrrrrrrrrrr ive barely read any of it,49
1694126275,neutral,damienmulley,@PaulSweeney  Cloud Croatian Apartments,39
1753696850,happiness,prettymuchcrazy,Singing along to MyChem.,24
1966045060,worry,BroomBox,@hookedonheat what was it? I missed it.,39
1966132945,neutral,chrissykittysue,"got stood up, again",19
1753116039,neutral,mackeywho,"@alextuthreefour Well, maybe you should ask yr cousin to get you a shoutout video or something. Btw, I'm just randomly replying to people",137
1961899509,worry,ShalynE,Going to the courthouse to pay for tags &amp; taxes on all our cars...this is gonna be expensive.,97
1753097671,happiness,aussiemcflyfan,@Scarlettx3 omg i forgot about that! you lucky thing! hope you have fun!!  x,76
1753484758,neutral,gillllss,freestyle exam  x,17
1957464154,worry,specialdave197,Fucking typical. GH:M arrives just as I leave for work. It's going to be a long day,83
1695582604,neutral,TidyCat,@MsCatou someone really needs to make a kit like that avaialble for home use,76
1751359364,neutral,Liyonah,"@Carmen_Believer I know! That's ok, most did ;) Thanks",54
1694512546,neutral,AHTrader,Morning. I closed out EUR/JPY 132.25  @ 132.00 and place a stop @ 130.55 @ 131.55. That 132.25 was executed while i was asleep,126
1751538725,happiness,Mizzjanice17,"About to pik out my hair, braid it up, scrub off my make up and relaxxxx.... tonight was fun",92
1753646975,happiness,ddkns,watching americas next top model yah haha,41
1695190557,happiness,girl_onthego,NEW STRIPEY TOP DAY!,20
1753869182,happiness,Esteff11,mOod. was way too much fun. lol..  I lOve to dance TEchno !!! &lt;3 ... life.lOve.stress &amp;&amp;. set backs &lt;3 gnite,122
